Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Classes
30,73,13,0.5,73.4,16.9,37,2.6,21.2,13.2,fire
32,70,15,0.6,76.3,19.9,86,3.2,27.3,0.2,fire
37,61,16,0.5,90.7,9.1,100.7,4.4,13.6,3.1,fire
34,43,13,0.4,95.2,26.7,18.4,12.2,28.4,12,not fire
31,63,19,1.1,80,15.8,24.9,4,20.4,18.4,fire
39,29,10,3.5,88.9,20.9,17.8,5.2,21.3,9.9,fire
38,53,15,0.8,95,54.7,18.5,13.1,62.2,9.6,fire
33,44,14,0.8,86.5,20.5,10.4,4.3,23.2,16.3,not fire
30,70,14,2.1,85.3,13.4,7.5,3.3,11.6,11.6,not fire
34,60,17,0.5,84.8,12.4,49.3,4.6,15.2,3.4,fire
30,57,14,1.2,77.4,10.2,10.2,5.1,15.1,21.6,not fire
30,85,11,1.1,80.3,21.5,67.2,2.9,24.1,12.6,fire
32,53,16,0.8,90.8,52.8,57,11.6,60.4,19.9,fire
32,48,15,2.1,80.4,18.7,75.1,5.9,23.1,6.1,not fire
33,64,14,1.5,77.7,16.1,41.5,7,15.8,3.8,not fire
31,75,16,0.7,77.2,22.9,26.6,6.6,28.1,13.5,not fire
35,59,19,2,91.1,37.4,98.6,7.9,41.2,20.9,fire
29,71,15,0.9,64.1,6.6,14.7,1.2,8.9,0,not fire
33,65,15,1.5,80.5,5.8,51.6,3.8,6.4,3.9,fire
30,74,19,0.4,79.8,16.1,110.9,3.6,21.4,30.3,fire
27,88,14,1.9,52.2,5.9,43.3,0.6,9.7,0.6,not fire
29,74,15,0.6,83.6,9.8,30.4,4.8,13,16.3,fire
34,55,15,1.9,79.8,23.1,17.7,2.9,23.3,2.8,fire
29,51,15,1.9,73,1.3,45.1,1.6,1.8,7.1,not fire
35,43,15,3.2,80.7,13.4,115.6,6,15,1.7,fire
34,63,19,2.4,79.7,25,8.7,5.7,32.1,9,not fire
36,48,15,0.2,94.4,41.7,22.5,10.9,46.5,12.9,fire
38,46,17,0.7,93.5,29,30.1,15.4,32.6,14.8,fire
32,49,13,2.8,83.6,19.3,7.1,4.3,23.5,14.6,not fire
39,60,13,0,93.8,26.1,110.9,10.7,32.5,8.4,fire
31,67,13,3.6,67.9,10.4,90.1,1.2,7.9,0.1,not fire
31,66,18,2.1,62.3,14.8,45.1,2.7,17.7,0.3,not fire
35,41,16,1.5,94.1,28.6,79.7,9.4,32.6,7.2,fire
36,55,7,1.6,90.6,9.3,88.5,6.6,11.5,6.1,fire
37,53,11,0.7,91.6,12.5,33.1,5,16.4,1,not fire
34,30,16,1.1,89,18.1,71.8,11.3,17,0.2,fire
33,69,13,0.5,90.5,7.1,147.7,4.6,9.5,2.3,fire
38,45,15,0.8,94.4,13.9,71.5,10.3,14.9,7.2,fire
29,73,17,1.8,72,10.3,86,4.6,12.1,13.2,fire
37,46,13,1.7,88.2,21.9,34.5,6.2,22.5,0.9,not fire
36,41,18,2.8,86.9,20.4,7.4,7.6,18.1,0.5,not fire
34,66,19,1.7,82.5,33.8,19.7,8.6,39.1,7.1,not fire
35,69,14,0.2,90.1,19.1,76.4,8.3,20.6,1.4,fire
34,47,13,1.8,78.8,9.4,49.8,3.2,10.8,15.2,not fire
27,67,21,1.4,67.9,2.3,17,2.7,2.7,0,not fire
37,54,16,0.1,94.5,39.6,16,15.5,44.6,20.3,fire
34,79,17,1.9,85.4,12.2,6.9,2.9,13.4,1,fire
35,33,16,1.5,90.8,17.6,9.8,8.2,17.7,0.7,fire
32,44,17,0.6,83,15.9,57,7.1,18.7,18.1,fire
32,83,18,0,89,38.1,151.3,9.3,47.6,0.3,fire
29,67,19,2.3,69.6,11.2,46.4,4.1,15.4,1.7,not fire
26,58,20,5.2,53.9,3.9,41.5,1.3,4.4,0.5,not fire
31,48,15,2.4,70.2,13,79.7,3.2,16.9,7.1,not fire
28,66,18,2.3,78.4,21.5,8.7,7.4,22.8,10.6,not fire
25,89,18,0.3,74.6,4.3,92.8,2.1,6.5,8.8,fire
32,63,15,0.1,87.6,23.9,26.6,5.2,28.2,15.2,fire
38,40,17,1.2,90.3,9.3,27.3,9.2,9,9.1,not fire
31,74,17,2.2,60.9,1.2,28.1,1.3,2.1,7.7,not fire
30,58,15,1.7,86.2,10.1,14.6 9,5.8,11.4,15,not fire
29,46,14,2.4,69.3,19.8,24.3,3.4,21.5,0.7,fire
28,76,18,0.5,71.1,3.5,39.5,2.2,7.2,9.8,fire
26,78,14,1.9,57.5,7.6,6.9,0.9,10.7,0.5,not fire
32,38,17,2.4,75.4,23.5,26.3,5.9,25.4,6.8,not fire
32,67,14,0.3,67.4,15,63.3,3.1,20.2,0,fire
31,68,12,0.2,85.9,5.6,28.3,4.2,7.7,16,fire
33,60,16,1.9,82.8,7.5,46.3,2.9,10.2,0.6,not fire
29,49,16,2.1,65.6,9.6,14.6 9,4,11.6,4.2,not fire
35,58,13,2.6,86.4,3.9,19.4,4.9,4,0,not fire
30,53,12,6,66.5,2.1,79.7,0.7,2.8,0.8,not fire
27,72,18,0.7,75.7,6.8,45.1,2.9,7.3,16.7,fire
39,55,15,1.4,83.1,11.9,32.2,2.2,14.7,19.5,not fire
32,46,12,0.9,87.9,19.1,26.3,10.8,17.7,9.6,fire
34,54,12,4.3,61.7,12.5,41.5,0.5,13.6,4.2,not fire
28,68,13,1.4,71.4,17.5,117.8,2.4,17.5,10.7,not fire
35,59,18,1.7,85,30.2,88.5,4.4,37.9,7.1,fire
29,74,15,1.1,72.3,15.5,24.1,4.6,15.6,5.9,not fire
31,85,15,3.3,66.5,1.9,21.4,1.7,3,0.5,fire
35,87,16,1.9,67.1,13,79.7,0.8,16.7,15.3,not fire
35,51,12,0.6,90.5,12.2,77.8,11.8,11.5,0.8,not fire
35,38,16,0.6,93.8,34.9,145.7,12.4,43.3,14.8,fire
33,32,9,3.8,82.9,2.9,28.3,2.9,3.7,13.7,fire
27,85,17,3.7,53.1,6.9,90.1,0.8,9.1,0.8,fire
33,47,15,1,77.9,5.2,107,7.1,8.3,2.7,fire
30,65,12,1.8,74.7,1.4,41.3,2.1,1.8,18.4,fire
35,57,11,1.8,87.3,15.3,15.2,5.8,16,9,fire
32,61,12,0.7,83.3,33.8,141.1,4.6,41,5.3,not fire
27,63,11,2.2,74,22.9,177.3,2.4,24.1,1.2,not fire
31,77,16,0.7,83.3,17.3,79.9,5.6,21.3,13.5,fire
33,55,17,0.9,80.3,16,59.2,5.1,21.6,15.7,fire
36,45,16,1.9,84.6,16.6,34.5,3.1,20.1,0.9,not fire
35,42,16,0.6,89,8.1,147.7,8.9,11,2.6,fire
29,74,21,0.3,70,10.6,75.1,2.9,16.9,12.7,not fire
33,69,14,0.4,88.7,12.8,9.7,5.4,13.4,10.5,fire
39,40,15,0.1,94.7,35.7,90.4,10.6,44.7,5.6,fire
27,60,14,3.2,61.3,2,52.4,2.5,1.9,0.3,fire
32,81,19,1.5,71.7,3.8,24.3,1.6,5.5,6.1,not fire
37,29,11,1.2,93.3,8.1,127,11,9.3,14.1,fire
29,76,19,0.7,82.3,14.3,10,6.9,18.7,12.9,fire
36,73,14,0.4,84.9,17.1,10.5,6.9,15.9,12.9,fire
31,64,20,0.8,81.8,20.5,46.4,4.3,23.1,6.4,not fire
