day,month,year,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Classes
20,September,2012,30,73,13,0.5,73.4,16.9,37,2.6,21.2,13.2,fire
10,September,2012,32,70,15,0.6,76.3,19.9,86,3.2,27.3,0.2,fire
5,August,2012,37,61,16,0.5,90.7,9.1,100.7,4.4,13.6,3.1,fire
28,June,2012,34,43,13,0.4,95.2,26.7,18.4,12.2,28.4,12,not fire
9,August,2012,31,63,19,1.1,80.0,15.8,24.9,4.0,20.4,18.4,fire
10,August,2012,39,29,10,3.5,88.9,20.9,17.8,5.2,21.3,9.9,fire
28,August,2012,38,53,15,0.8,95.0,54.7,18.5,13.1,62.2,9.6,fire
19,August,2012,33,44,14,0.8,86.5,20.5,10.4,4.3,23.2,16.3,not fire
11,July,2012,30,70,14,2.1,85.3,13.4,7.5,3.3,11.6,11.6,not fire
26,July,2012,34,60,17,0.5,84.8,12.4,49.3,4.6,15.2,3.4,fire
28,August,2012,30,57,14,1.2,77.4,10.2,10.2,5.1,15.1,21.6,not fire
27,August,2012,30,85,11,1.1,80.3,21.5,67.2,2.9,24.1,12.6,fire
29,June,2012,32,53,16,0.8,90.8,52.8,57,11.6,60.4,19.9,fire
30,July,2012,32,48,15,2.1,80.4,18.7,75.1,5.9,23.1,6.1,not fire
17,August,2012,33,64,14,1.5,77.7,16.1,41.5,7.0,15.8,3.8,not fire
27,August,2012,31,75,16,0.7,77.2,22.9,26.6,6.6,28.1,13.5,not fire
31,July,2012,35,59,19,2.0,91.1,37.4,98.6,7.9,41.2,20.9,fire
8,August,2012,29,71,15,0.9,64.1,6.6,14.7,1.2,8.9,0,not fire
7,August,2012,33,65,15,1.5,80.5,5.8,51.6,3.8,6.4,3.9,fire
21,August,2012,30,74,19,0.4,79.8,16.1,110.9,3.6,21.4,30.3,fire
11,September,2012,27,88,14,1.9,52.2,5.9,43.3,0.6,9.7,0.6,not fire
23,June,2012,29,74,15,0.6,83.6,9.8,30.4,4.8,13.0,16.3,fire
9,July,2012,34,55,15,1.9,79.8,23.1,17.7,2.9,23.3,2.8,fire
4,September,2012,29,51,15,1.9,73.0,1.3,45.1,1.6,1.8,7.1,not fire
20,June,2012,35,43,15,3.2,80.7,13.4,115.6,6.0,15.0,1.7,fire
28,July,2012,34,63,19,2.4,79.7,25.0,8.7,5.7,32.1,9,not fire
25,July,2012,36,48,15,0.2,94.4,41.7,22.5,10.9,46.5,12.9,fire
15,July,2012,38,46,17,0.7,93.5,29.0,30.1,15.4,32.6,14.8,fire
20,September,2012,32,49,13,2.8,83.6,19.3,7.1,4.3,23.5,14.6,not fire
8,August,2012,39,60,13,0.0,93.8,26.1,110.9,10.7,32.5,8.4,fire
22,July,2012,31,67,13,3.6,67.9,10.4,90.1,1.2,7.9,0.1,not fire
20,June,2012,31,66,18,2.1,62.3,14.8,45.1,2.7,17.7,0.3,not fire
23,June,2012,35,41,16,1.5,94.1,28.6,79.7,9.4,32.6,7.2,fire
7,August,2012,36,55,7,1.6,90.6,9.3,88.5,6.6,11.5,6.1,fire
26,August,2012,37,53,11,0.7,91.6,12.5,33.1,5.0,16.4,1,not fire
7,July,2012,34,30,16,1.1,89.0,18.1,71.8,11.3,17.0,0.2,fire
2,July,2012,33,69,13,0.5,90.5,7.1,147.7,4.6,9.5,2.3,fire
13,August,2012,38,45,15,0.8,94.4,13.9,71.5,10.3,14.9,7.2,fire
3,June,2012,29,73,17,1.8,72.0,10.3,86,4.6,12.1,13.2,fire
15,July,2012,37,46,13,1.7,88.2,21.9,34.5,6.2,22.5,0.9,not fire
21,July,2012,36,41,18,2.8,86.9,20.4,7.4,7.6,18.1,0.5,not fire
28,August,2012,34,66,19,1.7,82.5,33.8,19.7,8.6,39.1,7.1,not fire
